,teamName,teamId,year,offense,defense
0,Abilene Christian,0,2021,7.202044043359246,7.1953969120892225
1,Abilene Christian,0,2022,8.831368371452005,7.154927354909557
2,Air Force,1,2021,10.790237384838807,7.5840839418279815
3,Air Force,1,2022,10.770040262940306,8.537367105104432
4,Akron,2,2021,7.5998215290535835,6.103476693589175
5,Akron,2,2022,8.525137702969023,5.897225902179238
6,Alabama,3,2021,12.78324169561516,8.256797980216003
7,Alabama,3,2022,11.521619375383228,8.92186784063781
8,Alabama - Birmingham,4,2021,10.027962077007974,7.8999168229058006
9,Alabama - Birmingham,4,2022,10.602412474089002,8.724712622247193
10,Alabama A&M,5,2021,10.56213110738086,0.9792002533693516
11,Alabama A&M,5,2022,6.747528402210328,5.687557578991231
12,Alabama State,6,2021,6.595587309458583,5.2892055265010285
13,Alabama State,6,2022,7.106818718868394,7.618182307672597
14,Albany,7,2021,8.277470798791656,5.622224493257127
15,Albany,7,2022,6.884242480578599,5.120292495623872
16,Alcorn State,8,2021,8.762806427104367,3.496226650099832
17,Alcorn State,8,2022,6.83138128382504,4.858196110857148
18,Appalachian State,9,2021,10.311151212233264,8.351596132765312
19,Appalachian State,9,2022,10.477934913074737,5.294195003767331
20,Arizona,10,2021,8.691938574472012,7.324111606997405
21,Arizona,10,2022,10.41755569843948,7.653701761790106
22,Arizona State,11,2021,10.245814103601694,8.345666266288744
23,Arizona State,11,2022,8.49269706991407,8.93399181075468
24,Arkansas,12,2021,11.132704779616283,7.853046796807047
25,Arkansas,12,2022,12.622120853151042,6.917653346263495
26,Arkansas - Pine Bluff,13,2021,5.660602493901995,4.930073483345534
27,Arkansas - Pine Bluff,13,2022,7.694884091447714,5.613700341866554
28,Arkansas State,14,2021,9.78037578394747,4.472225519302469
29,Arkansas State,14,2022,10.053403257128572,8.228283009281903
30,Army,15,2021,10.948786234759966,6.743052609559414
31,Army,15,2022,10.274493870873595,5.026883714508243
32,Auburn,16,2021,10.79230551520107,8.273059959439887
33,Auburn,16,2022,10.354040213234969,7.552689597151461
34,Austin Peay,17,2021,9.253842837800441,5.606797363916156
35,Austin Peay,17,2022,10.10895141904318,8.374044553719868
36,Ball State,18,2021,8.813904796499493,7.4379799015179575
37,Ball State,18,2022,8.943862216234074,6.086126871305673
38,Baylor,19,2021,10.731362735851192,9.381119712035034
39,Baylor,19,2022,11.134780360280825,8.487226587372813
40,Bethune - Cookman,20,2021,8.37913998536422,3.162694574764229
41,Bethune - Cookman,20,2022,6.194822491853597,4.537082853123996
42,Boise State,21,2021,10.363259094086567,8.950946745240076
43,Boise State,21,2022,10.471703082673026,7.747721718912745
44,Boston College,22,2021,8.862674285488046,8.719027933284767
45,Boston College,22,2022,9.642465793369695,7.389993155669724
46,Bowling Green,23,2021,8.187310146529203,6.917782847518852
47,Bowling Green,23,2022,9.416145183461111,5.537772601622896
48,Brigham Young,24,2021,12.086301214427444,6.045800625460009
49,Brigham Young,24,2022,11.449202142302985,8.482389323830091
50,Brown,25,2021,10.192743719927694,1.0657322102063969
51,Brown,25,2022,7.694884091447714,5.613700341866554
52,Bryant,26,2021,7.610173221956518,4.751102888799098
53,Bryant,26,2022,8.604587028499992,5.672128139062103
54,Bucknell,27,2021,3.8220272122629266,6.707584031849896
55,Bucknell,27,2022,7.289323179586303,6.715290488034524
56,Buffalo,28,2021,9.72593876694829,5.6963794657282945
57,Buffalo,28,2022,8.635364115906665,5.800296120124875
58,Butler,29,2021,4.280280434094925,4.694509862856918
59,Butler,29,2022,7.694884091447714,5.613700341866554
60,California,30,2021,9.614437136734079,8.364569728540271
61,California,30,2022,9.679742014048825,7.662217011121431
62,California - Davis,31,2021,8.755081508365128,7.030864503682481
63,California - Davis,31,2022,8.613184988843141,6.423443803790011
64,California - Los Angeles,32,2021,12.184589933064066,6.3322393261637835
65,California - Los Angeles,32,2022,10.891332277212395,8.266177011887082
66,California Poly,33,2021,6.679747063414345,5.936471273989548
67,California Poly,33,2022,7.862967974752598,6.441447722022697
68,Campbell,34,2021,7.153975629092002,7.025902941626812
69,Campbell,34,2022,7.658130792311672,5.926619900817818
70,Central Arkansas,35,2021,10.01060744125427,4.073820861473365
71,Central Arkansas,35,2022,6.335752483842149,5.465433000504575
72,Central Connecticut,36,2021,5.97496825032574,5.242336161456154
73,Central Connecticut,36,2022,5.4869038189232855,6.067115648678423
74,Central Florida,37,2021,10.493089551971082,7.065622701539338
75,Central Florida,37,2022,9.82037439755293,8.093317150012458
76,Central Michigan,38,2021,10.541305986617145,6.373522320234541
77,Central Michigan,38,2022,10.884459933269214,5.374885529543401
78,Charleston Southern,39,2021,8.16461230766165,6.281299195762232
79,Charleston Southern,39,2022,7.319428616266142,4.395438731901409
80,Cincinnati,40,2021,10.635815344101955,9.604333286932137
81,Cincinnati,40,2022,11.905797198529733,7.804407203079882
82,Clemson,41,2021,10.044202655985416,9.913954158951453
83,Clemson,41,2022,10.713277464187875,8.299543082819747
84,Coastal Carolina,42,2021,11.056497409224798,6.778628619487539
85,Coastal Carolina,42,2022,10.42423995574678,5.096633510940249
86,Colgate,43,2021,5.879677662452187,6.991238207975978
87,Colgate,43,2022,7.1207441041336805,6.222212414325131
88,Colorado,44,2021,8.560538226806406,8.571327647831664
89,Colorado,44,2022,8.930760192496022,6.546506864965617
90,Colorado State,45,2021,9.807245806731894,6.78840654822968
91,Colorado State,45,2022,8.538781477738494,5.847866964834145
92,Columbia,46,2021,8.0026836518141,5.77100523504578
93,Columbia,46,2022,7.694884091447714,5.613700341866554
