Team,Year,Division,Conference
New Hampshire,2020,IAA,Colonial
New Mexico,2020,IA,MWC
New Mexico State,2020,IA,Indep
Nicholls State,2020,IAA,Southland
Norfolk State,2020,IAA,MEAC
North Alabama,2020,IAA,Big_South
North Carolina,2020,IA,ACC
North Carolina - Charlotte,2020,IA,CUSA
North Carolina A&T,2020,IAA,MEAC
North Carolina Central,2020,IAA,MEAC
North Carolina State,2020,IA,ACC
North Dakota,2020,IAA,Big_Sky
North Dakota State,2020,IAA,Missouri_V
Northeast Louisiana,2020,IA,Sun_Belt
Northern Arizona,2020,IAA,Big_Sky
Northern Colorado,2020,IAA,Big_Sky
Northern Illinois,2020,IA,MAC
Northern Iowa,2020,IAA,Missouri_V
North Texas,2020,IA,CUSA
Northwestern,2020,IA,Big_Ten
Northwestern State,2020,IAA,Southland
Notre Dame,2020,IA,Indep
Ohio,2020,IA,MAC
Ohio State,2020,IA,Big_Ten
Oklahoma,2020,IA,Big_12
Oklahoma State,2020,IA,Big_12
Old Dominion,2020,IA,CUSA
Oregon,2020,IA,PAC_12
Oregon State,2020,IA,PAC_12
Penn State,2020,IA,Big_Ten
Pennsylvania,2020,IAA,Ivy
Pittsburgh,2020,IA,ACC
Portland State,2020,IAA,Big_Sky
Prairie View,2020,IAA,SWAC
Presbyterian,2020,IAA,Big_South
Princeton,2020,IAA,Ivy
Purdue,2020,IA,Big_Ten
Rhode Island,2020,IAA,Colonial
Rice,2020,IA,CUSA
Richmond,2020,IAA,Colonial
Robert Morris,2020,IAA,NE
Rutgers,2020,IA,Big_Ten
Sacramento State,2020,IAA,Big_Sky
Sacred Heart,2020,IAA,NE
Saint Francis - Pennsylvania,2020,IAA,NE
Samford,2020,IAA,Southern
Sam Houston State,2020,IAA,Southland
San Diego,2020,IAA,Pioneer
San Diego State,2020,IA,MWC
San Jose State,2020,IA,MWC
South Alabama,2020,IA,Sun_Belt
South Carolina,2020,IA,SEC
South Carolina State,2020,IAA,MEAC
South Dakota,2020,IAA,Missouri_V
South Dakota State,2020,IAA,Missouri_V
Southeast Louisiana,2020,IAA,Southland
Southeast Missouri State,2020,IAA,Ohio_V
Southern California,2020,IA,PAC_12
Southern,2020,IAA,SWAC
Southern Illinois,2020,IAA,Missouri_V
Southern Methodist,2020,IA,Amer_Athl
Southern Mississippi,2020,IA,CUSA
Southern Utah,2020,IAA,Big_Sky
South Florida,2020,IA,Amer_Athl
Stanford,2020,IA,PAC_12
Stephen F. Austin,2020,IAA,Southland
Stetson,2020,IAA,Pioneer
Stony Brook,2020,IAA,Colonial
Syracuse,2020,IA,ACC
Temple,2020,IA,Amer_Athl
Tennessee,2020,IA,SEC
Tennessee - Chattanooga,2020,IAA,Southern
Tennessee - Martin,2020,IAA,Ohio_V
Tennessee State,2020,IAA,Ohio_V
Tennessee Tech,2020,IAA,Ohio_V
Texas,2020,IA,Big_12
Texas A&M,2020,IA,SEC
Texas Christian,2020,IA,Big_12
Texas - El Paso,2020,IA,CUSA
Texas - San Antonio,2020,IA,CUSA
Texas Southern,2020,IAA,SWAC
Texas State - San Marcos,2020,IA,Sun_Belt
Texas Tech,2020,IA,Big_12
The Citadel,2020,IAA,Southern
Toledo,2020,IA,MAC
Towson,2020,IAA,Colonial
Troy State,2020,IA,Sun_Belt
Tulane,2020,IA,Amer_Athl
Tulsa,2020,IA,Amer_Athl
Utah,2020,IA,PAC_12
Utah State,2020,IA,MWC
Valparaiso,2020,IAA,Pioneer
Vanderbilt,2020,IA,SEC
Villanova,2020,IAA,Colonial
Virginia,2020,IA,ACC
Virginia Military,2020,IAA,Southern
Virginia Tech,2020,IA,ACC
Wagner,2020,IAA,NE
Wake Forest,2020,IA,ACC
Washington,2020,IA,PAC_12
Washington State,2020,IA,PAC_12
Weber State,2020,IAA,Big_Sky
Western Carolina,2020,IAA,Southern
Western Illinois,2020,IAA,Missouri_V
Western Kentucky,2020,IA,CUSA
Western Michigan,2020,IA,MAC
West Virginia,2020,IA,Big_12
William & Mary,2020,IAA,Colonial
Wisconsin,2020,IA,Big_Ten
Wofford,2020,IAA,Southern
Wyoming,2020,IA,MWC
Yale,2020,IAA,Ivy
Youngstown State,2020,IAA,Missouri_V
Abilene Christian,2021,IAA,WAC
Air Force,2021,IA,MWC
Akron,2021,IA,MAC
Alabama,2021,IA,SEC
Alabama - Birmingham,2021,IA,CUSA
Alabama A&M,2021,IAA,SWAC
Alabama State,2021,IAA,SWAC
Albany,2021,IAA,Colonial
Alcorn State,2021,IAA,SWAC
Appalachian State,2021,IA,Sun_Belt
Arizona,2021,IA,PAC_12
Arizona State,2021,IA,PAC_12
Arkansas,2021,IA,SEC
Arkansas - Pine Bluff,2021,IAA,SWAC
Arkansas State,2021,IA,Sun_Belt
Army,2021,IA,Indep
Auburn,2021,IA,SEC
Austin Peay,2021,IAA,Ohio_V
Ball State,2021,IA,MAC
Baylor,2021,IA,Big_12
Bethune - Cookman,2021,IAA,SWAC
Boise State,2021,IA,MWC
Boston College,2021,IA,ACC
Bowling Green,2021,IA,MAC
Brigham Young,2021,IA,Indep
Brown,2021,IAA,Ivy
Bryant,2021,IAA,NE
Bucknell,2021,IAA,Patriot
Buffalo,2021,IA,MAC
Butler,2021,IAA,Pioneer
California,2021,IA,PAC_12
California - Davis,2021,IAA,Big_Sky
California - Los Angeles,2021,IA,PAC_12
California Poly,2021,IAA,Big_Sky
Campbell,2021,IAA,Big_South
Central Arkansas,2021,IAA,WAC
Central Connecticut,2021,IAA,NE
Central Florida,2021,IA,Amer_Athl
Central Michigan,2021,IA,MAC
Charleston Southern,2021,IAA,Big_South
Cincinnati,2021,IA,Amer_Athl
Clemson,2021,IA,ACC
Coastal Carolina,2021,IA,Sun_Belt
Colgate,2021,IAA,Patriot
Colorado,2021,IA,PAC_12
Colorado State,2021,IA,MWC
Columbia,2021,IAA,Ivy
Connecticut,2021,IA,Indep
Cornell,2021,IAA,Ivy
Dartmouth,2021,IAA,Ivy
Davidson,2021,IAA,Pioneer
Dayton,2021,IAA,Pioneer
Delaware,2021,IAA,Colonial
Delaware State,2021,IAA,MEAC
Utah Tech,2021,IAA,WAC
Drake,2021,IAA,Pioneer
Duke,2021,IA,ACC
Duquesne,2021,IAA,NE
East Carolina,2021,IA,Amer_Athl
East Tennessee State,2021,IAA,Southern
Eastern Illinois,2021,IAA,Ohio_V
Eastern Kentucky,2021,IAA,WAC
Eastern Michigan,2021,IA,MAC
Eastern Washington,2021,IAA,Big_Sky
Elon,2021,IAA,Colonial
Florida,2021,IA,SEC
Florida A&M,2021,IAA,SWAC
Florida Atlantic,2021,IA,CUSA
Florida International,2021,IA,CUSA
Florida State,2021,IA,ACC
Fordham,2021,IAA,Patriot
Fresno State,2021,IA,MWC
Furman,2021,IAA,Southern
Gardner - Webb,2021,IAA,Big_South
Georgetown,2021,IAA,Patriot
Georgia,2021,IA,SEC
Georgia Southern,2021,IA,Sun_Belt
Georgia State,2021,IA,Sun_Belt
Georgia Tech,2021,IA,ACC
Grambling,2021,IAA,SWAC
Hampton,2021,IAA,Big_South
Harvard,2021,IAA,Ivy
Hawaii,2021,IA,MWC
Holy Cross,2021,IAA,Patriot
Houston,2021,IA,Amer_Athl
Houston Christian,2021,IAA,Southland
Howard,2021,IAA,MEAC
Idaho,2021,IAA,Big_Sky
Idaho State,2021,IAA,Big_Sky
Illinois,2021,IA,Big_Ten
Illinois State,2021,IAA,Missouri_V
Incarnate Word,2021,IAA,Southland
Indiana,2021,IA,Big_Ten
Indiana State,2021,IAA,Missouri_V
Iowa,2021,IA,Big_Ten
Iowa State,2021,IA,Big_12
Jackson State,2021,IAA,SWAC
Jacksonville State,2021,IAA,WAC
James Madison,2021,IAA,Colonial
Kansas,2021,IA,Big_12
Kansas State,2021,IA,Big_12
Kennesaw State,2021,IAA,Big_South
Kent State,2021,IA,MAC
Kentucky,2021,IA,SEC
Lafayette,2021,IAA,Patriot
Lamar,2021,IAA,WAC
Lehigh,2021,IAA,Patriot
Liberty,2021,IA,Indep
Long Island,2021,IAA,NE
Louisiana - Lafayette,2021,IA,Sun_Belt
Louisiana State,2021,IA,SEC
Louisiana Tech,2021,IA,CUSA
Louisville,2021,IA,ACC
Maine,2021,IAA,Colonial
Marist,2021,IAA,Pioneer
Marshall,2021,IA,CUSA
Maryland,2021,IA,Big_Ten
Massachusetts,2021,IA,Indep
McNeese State,2021,IAA,Southland
Memphis,2021,IA,Amer_Athl
Mercer,2021,IAA,Southern
Merrimack,2021,IAA,NE
Miami - Florida,2021,IA,ACC
Miami - Ohio,2021,IA,MAC
Michigan,2021,IA,Big_Ten
Michigan State,2021,IA,Big_Ten
Middle Tennessee State,2021,IA,CUSA
Minnesota,2021,IA,Big_Ten
Mississippi,2021,IA,SEC
Mississippi State,2021,IA,SEC
Mississippi Valley State,2021,IAA,SWAC
Missouri,2021,IA,SEC
Missouri State,2021,IAA,Missouri_V
Monmouth,2021,IAA,Big_South
Montana,2021,IAA,Big_Sky
Montana State,2021,IAA,Big_Sky
Morehead State,2021,IAA,Pioneer
Morgan State,2021,IAA,MEAC
Murray State,2021,IAA,Ohio_V
Navy,2021,IA,Amer_Athl
Nebraska,2021,IA,Big_Ten
Nevada - Las Vegas,2021,IA,MWC
Nevada - Reno,2021,IA,MWC
New Hampshire,2021,IAA,Colonial
New Mexico,2021,IA,MWC
New Mexico State,2021,IA,Indep
Nicholls State,2021,IAA,Southland
Norfolk State,2021,IAA,MEAC
North Alabama,2021,IAA,Big_South
North Carolina,2021,IA,ACC
North Carolina - Charlotte,2021,IA,CUSA
North Carolina A&T,2021,IAA,Big_South
North Carolina Central,2021,IAA,MEAC
North Carolina State,2021,IA,ACC
North Dakota,2021,IAA,Missouri_V
North Dakota State,2021,IAA,Missouri_V
Northeast Louisiana,2021,IA,Sun_Belt
Northern Arizona,2021,IAA,Big_Sky
Northern Colorado,2021,IAA,Big_Sky
Northern Illinois,2021,IA,MAC
Northern Iowa,2021,IAA,Missouri_V
North Texas,2021,IA,CUSA
Northwestern,2021,IA,Big_Ten
Northwestern State,2021,IAA,Southland
Notre Dame,2021,IA,Indep
Ohio,2021,IA,MAC
Ohio State,2021,IA,Big_Ten
Oklahoma,2021,IA,Big_12
Oklahoma State,2021,IA,Big_12
Old Dominion,2021,IA,CUSA
Oregon,2021,IA,PAC_12
Oregon State,2021,IA,PAC_12
Penn State,2021,IA,Big_Ten
Pennsylvania,2021,IAA,Ivy
Pittsburgh,2021,IA,ACC
Portland State,2021,IAA,Big_Sky
Prairie View,2021,IAA,SWAC
Presbyterian,2021,IAA,Pioneer
Princeton,2021,IAA,Ivy
Purdue,2021,IA,Big_Ten
Rhode Island,2021,IAA,Colonial
Rice,2021,IA,CUSA
Richmond,2021,IAA,Colonial
Robert Morris,2021,IAA,Big_South
Rutgers,2021,IA,Big_Ten
Sacramento State,2021,IAA,Big_Sky
Sacred Heart,2021,IAA,NE
Saint Francis - Pennsylvania,2021,IAA,NE
Saint Thomas - Minnesota,2021,IAA,Pioneer
Samford,2021,IAA,Southern
Sam Houston State,2021,IAA,WAC
San Diego,2021,IAA,Pioneer
San Diego State,2021,IA,MWC
San Jose State,2021,IA,MWC
South Alabama,2021,IA,Sun_Belt
South Carolina,2021,IA,SEC
South Carolina State,2021,IAA,MEAC
South Dakota,2021,IAA,Missouri_V
South Dakota State,2021,IAA,Missouri_V
Southeast Louisiana,2021,IAA,Southland
Southeast Missouri State,2021,IAA,Ohio_V
Southern California,2021,IA,PAC_12
Southern,2021,IAA,SWAC
Southern Illinois,2021,IAA,Missouri_V
Southern Methodist,2021,IA,Amer_Athl
Southern Mississippi,2021,IA,CUSA
Southern Utah,2021,IAA,Big_Sky
South Florida,2021,IA,Amer_Athl
Stanford,2021,IA,PAC_12
Stephen F. Austin,2021,IAA,WAC
Stetson,2021,IAA,Pioneer
Stony Brook,2021,IAA,Colonial
Syracuse,2021,IA,ACC
Tarleton State,2021,IAA,WAC
Temple,2021,IA,Amer_Athl
Tennessee,2021,IA,SEC
Tennessee - Chattanooga,2021,IAA,Southern
Tennessee - Martin,2021,IAA,Ohio_V
Tennessee State,2021,IAA,Ohio_V
Tennessee Tech,2021,IAA,Ohio_V
Texas,2021,IA,Big_12
Texas A&M,2021,IA,SEC
Texas Christian,2021,IA,Big_12
Texas - El Paso,2021,IA,CUSA
Texas - San Antonio,2021,IA,CUSA
Texas Southern,2021,IAA,SWAC
Texas State - San Marcos,2021,IA,Sun_Belt
Texas Tech,2021,IA,Big_12
The Citadel,2021,IAA,Southern
Toledo,2021,IA,MAC
Towson,2021,IAA,Colonial
Troy State,2021,IA,Sun_Belt
Tulane,2021,IA,Amer_Athl
Tulsa,2021,IA,Amer_Athl
Utah,2021,IA,PAC_12
Utah State,2021,IA,MWC
Valparaiso,2021,IAA,Pioneer
Vanderbilt,2021,IA,SEC
Villanova,2021,IAA,Colonial
Virginia,2021,IA,ACC
Virginia Military,2021,IAA,Southern
Virginia Tech,2021,IA,ACC
Wagner,2021,IAA,NE
Wake Forest,2021,IA,ACC
Washington,2021,IA,PAC_12
Washington State,2021,IA,PAC_12
Weber State,2021,IAA,Big_Sky
Western Carolina,2021,IAA,Southern
Western Illinois,2021,IAA,Missouri_V
Western Kentucky,2021,IA,CUSA
Western Michigan,2021,IA,MAC
West Virginia,2021,IA,Big_12
William & Mary,2021,IAA,Colonial
Wisconsin,2021,IA,Big_Ten
Wofford,2021,IAA,Southern
Wyoming,2021,IA,MWC
Yale,2021,IAA,Ivy
Youngstown State,2021,IAA,Missouri_V
Abilene Christian,2022,IAA,WAC
Air Force,2022,IA,MWC
Akron,2022,IA,MAC
Alabama,2022,IA,SEC
Alabama - Birmingham,2022,IA,CUSA
Alabama A&M,2022,IAA,SWAC
Alabama State,2022,IAA,SWAC
Albany,2022,IAA,Colonial
Alcorn State,2022,IAA,SWAC
Appalachian State,2022,IA,Sun_Belt
Arizona,2022,IA,PAC_12
Arizona State,2022,IA,PAC_12
Arkansas,2022,IA,SEC
Arkansas - Pine Bluff,2022,IAA,SWAC
Arkansas State,2022,IA,Sun_Belt
Army,2022,IA,Indep
Auburn,2022,IA,SEC
Austin Peay,2022,IAA,ASUN
Ball State,2022,IA,MAC
Baylor,2022,IA,Big_12
Bethune - Cookman,2022,IAA,SWAC
Boise State,2022,IA,MWC
Boston College,2022,IA,ACC
Bowling Green,2022,IA,MAC
Brigham Young,2022,IA,Indep
Brown,2022,IAA,Ivy
Bryant,2022,IAA,Big_South
Bucknell,2022,IAA,Patriot
Buffalo,2022,IA,MAC
Butler,2022,IAA,Pioneer
California,2022,IA,PAC_12
California - Davis,2022,IAA,Big_Sky
California - Los Angeles,2022,IA,PAC_12
California Poly,2022,IAA,Big_Sky
Campbell,2022,IAA,Big_South
Central Arkansas,2022,IAA,ASUN
Central Connecticut,2022,IAA,NE
Central Florida,2022,IA,Amer_Athl
Central Michigan,2022,IA,MAC
Charleston Southern,2022,IAA,Big_South
Cincinnati,2022,IA,Amer_Athl
Clemson,2022,IA,ACC
Coastal Carolina,2022,IA,Sun_Belt
Colgate,2022,IAA,Patriot
Colorado,2022,IA,PAC_12
Colorado State,2022,IA,MWC
Columbia,2022,IAA,Ivy
Connecticut,2022,IA,Indep
Cornell,2022,IAA,Ivy
Dartmouth,2022,IAA,Ivy
Davidson,2022,IAA,Pioneer
Dayton,2022,IAA,Pioneer
Delaware,2022,IAA,Colonial
Delaware State,2022,IAA,MEAC
Utah Tech,2022,IAA,WAC
Drake,2022,IAA,Pioneer
Duke,2022,IA,ACC
Duquesne,2022,IAA,NE
East Carolina,2022,IA,Amer_Athl
East Tennessee State,2022,IAA,Southern
Eastern Illinois,2022,IAA,Ohio_V
Eastern Kentucky,2022,IAA,ASUN
Eastern Michigan,2022,IA,MAC
Eastern Washington,2022,IAA,Big_Sky
Elon,2022,IAA,Colonial
Florida,2022,IA,SEC
Florida A&M,2022,IAA,SWAC
Florida Atlantic,2022,IA,CUSA
Florida International,2022,IA,CUSA
Florida State,2022,IA,ACC
Fordham,2022,IAA,Patriot
Fresno State,2022,IA,MWC
Furman,2022,IAA,Southern
Gardner - Webb,2022,IAA,Big_South
Georgetown,2022,IAA,Patriot
Georgia,2022,IA,SEC
Georgia Southern,2022,IA,Sun_Belt
Georgia State,2022,IA,Sun_Belt
Georgia Tech,2022,IA,ACC
Grambling,2022,IAA,SWAC
Hampton,2022,IAA,Colonial
Harvard,2022,IAA,Ivy
Hawaii,2022,IA,MWC
Holy Cross,2022,IAA,Patriot
Houston,2022,IA,Amer_Athl
Houston Christian,2022,IAA,Southland
Howard,2022,IAA,MEAC
Idaho,2022,IAA,Big_Sky
Idaho State,2022,IAA,Big_Sky
Illinois,2022,IA,Big_Ten
Illinois State,2022,IAA,Missouri_V
Incarnate Word,2022,IAA,Southland
Indiana,2022,IA,Big_Ten
Indiana State,2022,IAA,Missouri_V
Iowa,2022,IA,Big_Ten
Iowa State,2022,IA,Big_12
Jackson State,2022,IAA,SWAC
Jacksonville State,2022,IAA,ASUN
James Madison,2022,IA,Sun_Belt
Kansas,2022,IA,Big_12
Kansas State,2022,IA,Big_12
Kennesaw State,2022,IAA,ASUN
Kent State,2022,IA,MAC
Kentucky,2022,IA,SEC
Lafayette,2022,IAA,Patriot
Lamar,2022,IAA,Southland
Lehigh,2022,IAA,Patriot
Liberty,2022,IA,Indep
Lindenwood,2022,IAA,Ohio_V
Long Island,2022,IAA,NE
Louisiana - Lafayette,2022,IA,Sun_Belt
Louisiana State,2022,IA,SEC
Louisiana Tech,2022,IA,CUSA
Louisville,2022,IA,ACC
Maine,2022,IAA,Colonial
Marist,2022,IAA,Pioneer
Marshall,2022,IA,Sun_Belt
Maryland,2022,IA,Big_Ten
Massachusetts,2022,IA,Indep
McNeese State,2022,IAA,Southland
Memphis,2022,IA,Amer_Athl
Mercer,2022,IAA,Southern
Merrimack,2022,IAA,NE
Miami - Florida,2022,IA,ACC
Miami - Ohio,2022,IA,MAC
Michigan,2022,IA,Big_Ten
Michigan State,2022,IA,Big_Ten
Middle Tennessee State,2022,IA,CUSA
Minnesota,2022,IA,Big_Ten
Mississippi,2022,IA,SEC
Mississippi State,2022,IA,SEC
Mississippi Valley State,2022,IAA,SWAC
Missouri,2022,IA,SEC
Missouri State,2022,IAA,Missouri_V
Monmouth,2022,IAA,Colonial
Montana,2022,IAA,Big_Sky
Montana State,2022,IAA,Big_Sky
Morehead State,2022,IAA,Pioneer
Morgan State,2022,IAA,MEAC
Murray State,2022,IAA,Ohio_V
Navy,2022,IA,Amer_Athl
Nebraska,2022,IA,Big_Ten
Nevada - Las Vegas,2022,IA,MWC
Nevada - Reno,2022,IA,MWC
New Hampshire,2022,IAA,Colonial
New Mexico,2022,IA,MWC
New Mexico State,2022,IA,Indep
Nicholls State,2022,IAA,Southland
Norfolk State,2022,IAA,MEAC
North Alabama,2022,IAA,ASUN
North Carolina,2022,IA,ACC
North Carolina - Charlotte,2022,IA,CUSA
North Carolina A&T,2022,IAA,Big_South
North Carolina Central,2022,IAA,MEAC
North Carolina State,2022,IA,ACC
North Dakota,2022,IAA,Missouri_V
North Dakota State,2022,IAA,Missouri_V
Northeast Louisiana,2022,IA,Sun_Belt
Northern Arizona,2022,IAA,Big_Sky
Northern Colorado,2022,IAA,Big_Sky
Northern Illinois,2022,IA,MAC
Northern Iowa,2022,IAA,Missouri_V
North Texas,2022,IA,CUSA
Northwestern,2022,IA,Big_Ten
Northwestern State,2022,IAA,Southland
Notre Dame,2022,IA,Indep
Ohio,2022,IA,MAC
Ohio State,2022,IA,Big_Ten
Oklahoma,2022,IA,Big_12
Oklahoma State,2022,IA,Big_12
Old Dominion,2022,IA,Sun_Belt
Oregon,2022,IA,PAC_12
Oregon State,2022,IA,PAC_12
Penn State,2022,IA,Big_Ten
Pennsylvania,2022,IAA,Ivy
Pittsburgh,2022,IA,ACC
Portland State,2022,IAA,Big_Sky
Prairie View,2022,IAA,SWAC
Presbyterian,2022,IAA,Pioneer
Princeton,2022,IAA,Ivy
Purdue,2022,IA,Big_Ten
Rhode Island,2022,IAA,Colonial
Rice,2022,IA,CUSA
Richmond,2022,IAA,Colonial
Robert Morris,2022,IAA,Big_South
Rutgers,2022,IA,Big_Ten
Sacramento State,2022,IAA,Big_Sky
Sacred Heart,2022,IAA,NE
Saint Francis - Pennsylvania,2022,IAA,NE
Saint Thomas - Minnesota,2022,IAA,Pioneer
Samford,2022,IAA,Southern
Sam Houston State,2022,IAA,WAC
San Diego,2022,IAA,Pioneer
San Diego State,2022,IA,MWC
San Jose State,2022,IA,MWC
South Alabama,2022,IA,Sun_Belt
South Carolina,2022,IA,SEC
South Carolina State,2022,IAA,MEAC
South Dakota,2022,IAA,Missouri_V
South Dakota State,2022,IAA,Missouri_V
Southeast Louisiana,2022,IAA,Southland
Southeast Missouri State,2022,IAA,Ohio_V
Southern California,2022,IA,PAC_12
Southern,2022,IAA,SWAC
Southern Illinois,2022,IAA,Missouri_V
Southern Methodist,2022,IA,Amer_Athl
Southern Mississippi,2022,IA,Sun_Belt
Southern Utah,2022,IAA,WAC
South Florida,2022,IA,Amer_Athl
Stanford,2022,IA,PAC_12
Stephen F. Austin,2022,IAA,WAC
Stetson,2022,IAA,Pioneer
Stonehill,2022,IAA,NE
Stony Brook,2022,IAA,Colonial
Syracuse,2022,IA,ACC
Tarleton State,2022,IAA,WAC
Temple,2022,IA,Amer_Athl
Tennessee,2022,IA,SEC
Tennessee - Chattanooga,2022,IAA,Southern
Tennessee - Martin,2022,IAA,Ohio_V
Tennessee State,2022,IAA,Ohio_V
Tennessee Tech,2022,IAA,Ohio_V
Texas,2022,IA,Big_12
Texas A&M,2022,IA,SEC
Texas A&M-Commerce,2022,IAA,Southland
Texas Christian,2022,IA,Big_12
Texas - El Paso,2022,IA,CUSA
Texas - San Antonio,2022,IA,CUSA
Texas Southern,2022,IAA,SWAC
Texas State - San Marcos,2022,IA,Sun_Belt
Texas Tech,2022,IA,Big_12
The Citadel,2022,IAA,Southern
Toledo,2022,IA,MAC
Towson,2022,IAA,Colonial
Troy State,2022,IA,Sun_Belt
Tulane,2022,IA,Amer_Athl
Tulsa,2022,IA,Amer_Athl
Utah,2022,IA,PAC_12
Utah State,2022,IA,MWC
Utah Tech,2022,IA,WAC
Valparaiso,2022,IAA,Pioneer
Vanderbilt,2022,IA,SEC
Villanova,2022,IAA,Colonial
Virginia,2022,IA,ACC
Virginia Military,2022,IAA,Southern
Virginia Tech,2022,IA,ACC
Wagner,2022,IAA,NE
Wake Forest,2022,IA,ACC
Washington,2022,IA,PAC_12
Washington State,2022,IA,PAC_12
