Team,Year,Division,Conference
Abilene Christian,2020,IAA,Southland
Air Force,2020,IA,MWC
Akron,2020,IA,MAC
Alabama,2020,IA,SEC
Alabama - Birmingham,2020,IA,CUSA
Alabama A&M,2020,IAA,SWAC
Alabama State,2020,IAA,SWAC
Albany,2020,IAA,Colonial
Alcorn State,2020,IAA,SWAC
Appalachian State,2020,IA,Sun_Belt
Arizona,2020,IA,PAC_12
Arizona State,2020,IA,PAC_12
Arkansas,2020,IA,SEC
Arkansas - Pine Bluff,2020,IAA,SWAC
Arkansas State,2020,IA,Sun_Belt
Army,2020,IA,Indep
Auburn,2020,IA,SEC
Austin Peay,2020,IAA,Ohio_V
Ball State,2020,IA,MAC
Baylor,2020,IA,Big_12
Bethune - Cookman,2020,IAA,MEAC
Boise State,2020,IA,MWC
Boston College,2020,IA,ACC
Bowling Green,2020,IA,MAC
Brigham Young,2020,IA,Indep
Brown,2020,IAA,Ivy
Bryant,2020,IAA,NE
Bucknell,2020,IAA,Patriot
Buffalo,2020,IA,MAC
Butler,2020,IAA,Pioneer
California,2020,IA,PAC_12
California - Davis,2020,IAA,Big_Sky
California - Los Angeles,2020,IA,PAC_12
California Poly,2020,IAA,Big_Sky
Campbell,2020,IAA,Big_South
Central Arkansas,2020,IAA,Southland
Central Connecticut,2020,IAA,NE
Central Florida,2020,IA,Amer_Athl
Central Michigan,2020,IA,MAC
Charleston Southern,2020,IAA,Big_South
Cincinnati,2020,IA,Amer_Athl
Clemson,2020,IA,ACC
Coastal Carolina,2020,IA,Sun_Belt
Colgate,2020,IAA,Patriot
Colorado,2020,IA,PAC_12
Colorado State,2020,IA,MWC
Columbia,2020,IAA,Ivy
Connecticut,2020,IA,Amer_Athl
Cornell,2020,IAA,Ivy
Dartmouth,2020,IAA,Ivy
Davidson,2020,IAA,Pioneer
Dayton,2020,IAA,Pioneer
Delaware,2020,IAA,Colonial
Delaware State,2020,IAA,MEAC
Drake,2020,IAA,Pioneer
Duke,2020,IA,ACC
Duquesne,2020,IAA,NE
East Carolina,2020,IA,Amer_Athl
East Tennessee State,2020,IAA,Southern
Eastern Illinois,2020,IAA,Ohio_V
Eastern Kentucky,2020,IAA,Ohio_V
Eastern Michigan,2020,IA,MAC
Eastern Washington,2020,IAA,Big_Sky
Elon,2020,IAA,Colonial
Florida,2020,IA,SEC
Florida A&M,2020,IAA,MEAC
Florida Atlantic,2020,IA,CUSA
Florida International,2020,IA,CUSA
Florida State,2020,IA,ACC
Fordham,2020,IAA,Patriot
Fresno State,2020,IA,MWC
Furman,2020,IAA,Southern
Gardner - Webb,2020,IAA,Big_South
Georgetown,2020,IAA,Patriot
Georgia,2020,IA,SEC
Georgia Southern,2020,IA,Sun_Belt
Georgia State,2020,IA,Sun_Belt
Georgia Tech,2020,IA,ACC
Grambling,2020,IAA,SWAC
Hampton,2020,IAA,Big_South
Harvard,2020,IAA,Ivy
Hawaii,2020,IA,MWC
Holy Cross,2020,IAA,Patriot
Houston,2020,IA,Amer_Athl
Houston Baptist,2020,IAA,Southland
Howard,2020,IAA,MEAC
Idaho,2020,IAA,Big_Sky
Idaho State,2020,IAA,Big_Sky
Illinois,2020,IA,Big_Ten
Illinois State,2020,IAA,Missouri_V
Incarnate Word,2020,IAA,Southland
Indiana,2020,IA,Big_Ten
Indiana State,2020,IAA,Missouri_V
Iowa,2020,IA,Big_Ten
Iowa State,2020,IA,Big_12
Jackson State,2020,IAA,SWAC
Jacksonville,2020,IAA,Pioneer
Jacksonville State,2020,IAA,Ohio_V
James Madison,2020,IAA,Colonial
Kansas,2020,IA,Big_12
Kansas State,2020,IA,Big_12
Kennesaw State,2020,IAA,Big_South
Kent State,2020,IA,MAC
Kentucky,2020,IA,SEC
Lafayette,2020,IAA,Patriot
Lamar,2020,IAA,Southland
Lehigh,2020,IAA,Patriot
Liberty,2020,IA,Indep
Long Island,2020,IAA,NE
Louisiana - Lafayette,2020,IA,Sun_Belt
Louisiana State,2020,IA,SEC
Louisiana Tech,2020,IA,CUSA
Louisville,2020,IA,ACC
Maine,2020,IAA,Colonial
Marist,2020,IAA,Pioneer
Marshall,2020,IA,CUSA
Maryland,2020,IA,Big_Ten
Massachusetts,2020,IA,Indep
McNeese State,2020,IAA,Southland
Memphis,2020,IA,Amer_Athl
Mercer,2020,IAA,Southern
Merrimack,2020,IAA,NE
Miami - Florida,2020,IA,ACC
Miami - Ohio,2020,IA,MAC
Michigan,2020,IA,Big_Ten
Michigan State,2020,IA,Big_Ten
Middle Tennessee State,2020,IA,CUSA
Minnesota,2020,IA,Big_Ten
Mississippi,2020,IA,SEC
Mississippi State,2020,IA,SEC
Mississippi Valley State,2020,IAA,SWAC
Missouri,2020,IA,SEC
Missouri State,2020,IAA,Missouri_V
Monmouth,2020,IAA,Big_South
Montana,2020,IAA,Big_Sky
Montana State,2020,IAA,Big_Sky
Morehead State,2020,IAA,Pioneer
Morgan State,2020,IAA,MEAC
Murray State,2020,IAA,Ohio_V
Navy,2020,IA,Amer_Athl
Nebraska,2020,IA,Big_Ten
Nevada - Las Vegas,2020,IA,MWC
Nevada - Reno,2020,IA,MWC
