Season,RoundNumber,RoundName,Date,HomeFlag,Score1,Team1,Score2,Team2
1998,0,weekb0,1998-08-29,team1Home,16,Michigan State,23,Colorado State
1998,0,weekb0,1998-08-29,team1Home,56,Nebraska,27,Louisiana Tech
1998,0,weekb0,1998-08-30,team1Home,27,Southern California,17,Purdue
1998,0,weekb0,1998-08-31,neutral,14,Texas A&M,23,Florida State
1998,1,weekb1,1998-09-03,team1Home,0,Auburn,19,Virginia
1998,1,weekb1,1998-09-03,team1Home,21,Austin Peay,44,Morehead State
1998,1,weekb1,1998-09-03,team1Home,23,Tennessee - Chattanooga,13,Samford
1998,1,weekb1,1998-09-03,team1Home,33,Delaware,30,Massachusetts
1998,1,weekb1,1998-09-03,team1Home,10,Eastern Michigan,13,Northern Iowa
1998,1,weekb1,1998-09-03,team1Home,6,Hawaii,27,Arizona
1998,1,weekb1,1998-09-03,team1Home,34,North Carolina State,31,Ohio
1998,1,weekb1,1998-09-03,team1Home,15,Towson,10,Morgan State
1998,1,weekb1,1998-09-03,team1Home,49,Western Kentucky,7,Tennessee - Martin
1998,1,weekb1,1998-09-03,team1Home,37,Western Michigan,23,Northern Illinois
1998,1,weekb1,1998-09-04,team1Home,49,Albany,10,Central Connecticut
1998,1,weekb1,1998-09-04,team1Home,20,Washington State,13,Illinois
1998,1,weekb1,1998-09-05,team1Home,42,Air Force,0,Wake Forest
1998,1,weekb1,1998-09-05,team1Home,16,Akron,27,Marshall
1998,1,weekb1,1998-09-05,team1Home,38,Alabama,31,Brigham Young
1998,1,weekb1,1998-09-05,team1Home,13,Alabama A&M,19,Jacksonville State
1998,1,weekb1,1998-09-05,team1Home,28,Appalachian State,19,Liberty
1998,1,weekb1,1998-09-05,team1Home,38,Arizona State,42,Washington
1998,1,weekb1,1998-09-05,team1Home,38,Arkansas,17,Louisiana - Lafayette
1998,1,weekb1,1998-09-05,team1Home,26,Boise State,13,California State - Northridge
1998,1,weekb1,1998-09-05,team1Home,14,California,10,Houston
1998,1,weekb1,1998-09-05,team1Home,0,California Poly,9,Northern Arizona
1998,1,weekb1,1998-09-05,team1Home,7,Charleston Southern,17,South Carolina State
1998,1,weekb1,1998-09-05,team1Home,34,Cincinnati,52,Tulane
1998,1,weekb1,1998-09-05,team1Home,33,Clemson,0,Furman
1998,1,weekb1,1998-09-05,team1Home,35,Colgate,45,Connecticut
1998,1,weekb1,1998-09-05,team1Home,24,Duke,10,Western Carolina
1998,1,weekb1,1998-09-05,team1Home,10,Duquesne,38,Bucknell
1998,1,weekb1,1998-09-05,team1Home,49,Florida,10,The Citadel
1998,1,weekb1,1998-09-05,team1Home,14,Florida A&M,21,Hampton
1998,1,weekb1,1998-09-05,team1Home,56,Georgia,3,Kent State
1998,1,weekb1,1998-09-05,team1Home,31,Georgia Southern,17,Elon
1998,1,weekb1,1998-09-05,team1Home,31,Georgia Tech,41,Boston College
1998,1,weekb1,1998-09-05,team1Home,11,Grambling,0,Alcorn State
1998,1,weekb1,1998-09-05,team1Home,68,Hofstra,0,Delaware State
1998,1,weekb1,1998-09-05,team1Home,26,Holy Cross,22,Fairfield
1998,1,weekb1,1998-09-05,team1Home,34,Howard,8,Jackson State
1998,1,weekb1,1998-09-05,team1Home,31,Idaho,14,Eastern Washington
1998,1,weekb1,1998-09-05,team1Home,38,Iowa,0,Central Michigan
1998,1,weekb1,1998-09-05,team1Home,21,Iowa State,31,Texas Christian
1998,1,weekb1,1998-09-05,team1Home,28,Kansas,38,Oklahoma State
1998,1,weekb1,1998-09-05,team1Home,66,Kansas State,0,Indiana State
1998,1,weekb1,1998-09-05,team1Home,30,Louisiana Tech,64,Central Florida
1998,1,weekb1,1998-09-05,team1Home,34,Louisville,68,Kentucky
1998,1,weekb1,1998-09-05,team1Home,23,Maryland,15,James Madison
1998,1,weekb1,1998-09-05,team1Home,66,Miami - Florida,17,East Tennessee State
1998,1,weekb1,1998-09-05,team1Home,28,Middle Tennessee State,27,Tennessee State
1998,1,weekb1,1998-09-05,team1Home,17,Minnesota,14,Arkansas State
1998,1,weekb1,1998-09-05,team1Home,30,Mississippi,10,Memphis
1998,1,weekb1,1998-09-05,team1Home,42,Mississippi State,0,Vanderbilt
1998,1,weekb1,1998-09-05,team1Home,21,Mississippi Valley State,38,Arkansas - Pine Bluff
1998,1,weekb1,1998-09-05,team1Home,37,Missouri,0,Bowling Green
1998,1,weekb1,1998-09-05,team1Home,14,Monmouth,27,Dayton
1998,1,weekb1,1998-09-05,team1Home,41,Murray State,13,Southern Illinois
1998,1,weekb1,1998-09-05,team1Home,38,Nebraska,7,Alabama - Birmingham
1998,1,weekb1,1998-09-05,team1Home,38,New Mexico,9,Idaho State
1998,1,weekb1,1998-09-05,team1Home,10,North Carolina,13,Miami - Ohio
1998,1,weekb1,1998-09-05,team1Home,44,Northeast Louisiana,10,Nicholls State
1998,1,weekb1,1998-09-05,team1Home,10,Northeastern,3,New Hampshire
1998,1,weekb1,1998-09-05,team1Home,41,Northwestern,7,Nevada - Las Vegas
1998,1,weekb1,1998-09-05,team1Home,28,Northwestern State,7,Southern
1998,1,weekb1,1998-09-05,team1Home,36,Notre Dame,20,Michigan
1998,1,weekb1,1998-09-05,team1Home,37,Oklahoma,9,North Texas
1998,1,weekb1,1998-09-05,team1Home,48,Oregon,14,Michigan State
1998,1,weekb1,1998-09-05,team1Home,48,Oregon State,6,Nevada - Reno
1998,1,weekb1,1998-09-05,team1Home,34,Penn State,6,Southern Mississippi
1998,1,weekb1,1998-09-05,team1Home,48,Pittsburgh,41,Villanova
1998,1,weekb1,1998-09-05,team1Home,13,Rhode Island,21,William & Mary
1998,1,weekb1,1998-09-05,team1Home,23,Rice,17,Southern Methodist
1998,1,weekb1,1998-09-05,team1Home,7,Rutgers,6,Richmond
1998,1,weekb1,1998-09-05,team1Home,0,Sacred Heart,19,Saint John's
1998,1,weekb1,1998-09-05,team1Home,12,Saint Mary's,25,Sacramento State
1998,1,weekb1,1998-09-05,team1Home,14,San Diego State,26,Wisconsin
1998,1,weekb1,1998-09-05,team1Home,38,South Carolina,20,Ball State
1998,1,weekb1,1998-09-05,team1Home,23,Stanford,35,San Jose State
1998,1,weekb1,1998-09-05,team1Home,42,Stephen F. Austin,49,Montana
1998,1,weekb1,1998-09-05,team1Home,33,Syracuse,34,Tennessee
1998,1,weekb1,1998-09-05,team1Home,66,Texas,36,New Mexico State
1998,1,weekb1,1998-09-05,team1Home,24,Texas Southern,13,Prairie View
1998,1,weekb1,1998-09-05,team1Home,35,Texas Tech,3,Texas - El Paso
1998,1,weekb1,1998-09-05,team1Home,24,Toledo,12,Temple
1998,1,weekb1,1998-09-05,team1Home,26,Troy State,0,Alabama State
1998,1,weekb1,1998-09-05,team1Home,49,Tulsa,14,Southwest Missouri State
1998,1,weekb1,1998-09-05,team1Home,12,Utah State,20,Utah
1998,1,weekb1,1998-09-05,team1Home,38,Virginia Tech,3,East Carolina
1998,1,weekb1,1998-09-05,team1Home,17,West Virginia,34,Ohio State
1998,1,weekb1,1998-09-05,neutral,14,Colorado State,42,Colorado
1998,2,week02,1998-09-10,team1Home,26,Wake Forest,14,Navy
1998,2,week02,1998-09-12,team1Home,32,Alabama,7,Vanderbilt
1998,2,week02,1998-09-12,team1Home,14,Alabama A&M,13,Grambling
1998,2,week02,1998-09-12,team1Home,6,Alabama State,31,Texas Southern
1998,2,week02,1998-09-12,team1Home,14,Arkansas - Pine Bluff,17,Southern
1998,2,week02,1998-09-12,team1Home,13,Army,14,Miami - Ohio
1998,2,week02,1998-09-12,team1Home,7,Ball State,13,Eastern Michigan
1998,2,week02,1998-09-12,team1Home,21,Boise State,33,Washington State
1998,2,week02,1998-09-12,team1Home,41,Boston College,14,Rutgers
1998,2,week02,1998-09-12,team1Home,26,Brigham Young,6,Arizona State
1998,2,week02,1998-09-12,team1Home,30,Bucknell,14,Saint Mary's
1998,2,week02,1998-09-12,team1Home,3,California,24,Nebraska
1998,2,week02,1998-09-12,team1Home,49,California - Los Angeles,31,Texas
1998,2,week02,1998-09-12,team1Home,10,Central Connecticut,7,Saint John's
1998,2,week02,1998-09-12,team1Home,48,Central Florida,0,Eastern Illinois
1998,2,week02,1998-09-12,team1Home,35,Central Michigan,14,Western Illinois
1998,2,week02,1998-09-12,team1Home,12,Cincinnati,38,Miami - Florida
1998,2,week02,1998-09-12,team1Home,0,Clemson,37,Virginia Tech
1998,2,week02,1998-09-12,team1Home,29,Colorado,21,Fresno State
1998,2,week02,1998-09-12,team1Home,31,Dayton,22,Robert Morris
1998,2,week02,1998-09-12,team1Home,31,East Carolina,0,Tennessee - Chattanooga
1998,2,week02,1998-09-12,team1Home,17,East Tennessee State,22,Appalachian State
1998,2,week02,1998-09-12,team1Home,27,Eastern Washington,30,Portland State
1998,2,week02,1998-09-12,team1Home,37,Elon,15,Delaware State
1998,2,week02,1998-09-12,team1Home,42,Fairfield,21,Iona
1998,2,week02,1998-09-12,team1Home,42,Florida,10,Northeast Louisiana
1998,2,week02,1998-09-12,team1Home,27,Furman,19,South Carolina State
1998,2,week02,1998-09-12,team1Home,24,Georgetown,7,Marist
1998,2,week02,1998-09-12,team1Home,51,Georgia Southern,32,Jacksonville State
1998,2,week02,1998-09-12,team1Home,42,Georgia Tech,7,New Mexico State
1998,2,week02,1998-09-12,team1Home,38,Hampton,31,Howard
1998,2,week02,1998-09-12,team1Home,7,Houston,14,Minnesota
1998,2,week02,1998-09-12,team1Home,48,Illinois,20,Middle Tennessee State
1998,2,week02,1998-09-12,team1Home,47,Illinois State,3,Saint Francis - Pennsylvania
1998,2,week02,1998-09-12,team1Home,45,Indiana,30,Western Michigan
1998,2,week02,1998-09-12,team1Home,9,Iowa,27,Iowa State
1998,2,week02,1998-09-12,team1Home,19,Jacksonville,14,Davidson
1998,2,week02,1998-09-12,team1Home,24,James Madison,37,Hofstra
1998,2,week02,1998-09-12,team1Home,73,Kansas State,7,Northern Illinois
1998,2,week02,1998-09-12,team1Home,10,Kent State,24,Youngstown State
1998,2,week02,1998-09-12,team1Home,52,Kentucky,7,Eastern Kentucky
1998,2,week02,1998-09-12,team1Home,24,La Salle,21,Saint Peter's
1998,2,week02,1998-09-12,team1Home,31,Lehigh,6,Fordham
1998,2,week02,1998-09-12,team1Home,42,Louisiana State,6,Arkansas State
